Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9420,1900 June 13,1900,03:27:37,-2,-1232,138,Nx,t-,1.0134,1.001,-0.004,22S,52W,261.9,-,-
9421,1900 December 6,1900,10:26:29,-1,-1226,143,N,a-,-1.1125,0.8183,-0.1851,21N,159W,233.7,-,-
9422,1901 May 3,1901,18:30:38,-1,-1221,110,Nx,#NAME?,-1.0101,1.0431,-0.0334,17S,81E,288.2,-,-
9423,1901 October 27,1901,15:15:18,0,-1215,115,P,#NAME?,0.9021,1.1841,0.2208,14N,127E,259.6,99.4,-
9424,1902 April 22,1902,18:52:40,0,-1209,120,T-,pp,-0.268,2.4002,1.3327,12S,76E,364.3,224.6,84.6
9425,1902 October 17,1902,06:03:26,1,-1203,125,T+,#NAME?,0.2201,2.4514,1.4566,9N,95W,330.4,212.3,88.8
9426,1903 April 12,1903,00:12:59,2,-1197,130,P,a-,0.4798,1.9877,0.9677,8S,3W,330.1,196.5,-
9427,1903 October 6,1903,15:17:33,2,-1191,135,P,t-,-0.528,1.9133,0.8654,4N,128E,337.5,193.7,-
9428,1904 March 2,1904,03:02:34,3,-1186,102,N,#NAME?,-1.4528,0.1748,-0.791,6N,43W,110.5,-,-
9429,1904 March 31,1904,12:32:28,3,-1185,140,N,a-,1.1665,0.7036,-0.2688,3S,173E,214.2,-,-
9430,1904 September 24,1904,17:34:44,3,-1179,145,N,t-,-1.2837,0.544,-0.5384,1S,95E,219.1,-,-
9431,1905 February 19,1905,19:00:02,4,-1174,112,P,#NAME?,-0.7984,1.3809,0.4049,11N,78E,277.2,132.1,-
9432,1905 August 15,1905,03:40:59,5,-1168,117,P,#NAME?,0.8456,1.3259,0.2871,14S,54W,302.3,123.1,-
9433,1906 February 9,1906,07:46:58,5,-1162,122,T-,#NAME?,-0.1199,2.6507,1.6254,15N,113W,342.8,219.4,97.8
9434,1906 August 4,1906,13:00:10,6,-1156,127,T+,pp,0.0477,2.7615,1.7793,17S,166E,333.9,218.7,101.2
9435,1907 January 29,1907,13:38:00,6,-1150,132,P,t-,0.6027,1.7936,0.711,19N,159E,341.1,183.5,-
9436,1907 July 25,1907,04:22:27,7,-1144,137,P,a-,-0.6924,1.5595,0.6149,21S,64W,284.5,156.8,-
9437,1908 January 18,1908,13:21:36,8,-1138,142,N,t-,1.2939,0.537,-0.5685,22N,162E,219.5,-,-
9438,1908 June 14,1908,14:06:32,8,-1133,109,N,#NAME?,1.1053,0.8135,-0.1541,22S,149E,229.9,-,-
9439,1908 July 13,1908,21:33:55,8,-1132,147,N,a-,-1.4185,0.2292,-0.7195,23S,38E,126.3,-,-
9440,1908 December 7,1908,21:55:09,9,-1127,114,Nx,#NAME?,-1.0059,1.0344,-0.0096,22N,29E,269.7,-,-
9441,1909 June 4,1909,01:28:51,10,-1121,119,T,#NAME?,0.3755,2.18,1.158,22S,23W,341.6,210.2,60.4
9442,1909 November 27,1909,08:54:41,10,-1115,124,T-,#NAME?,-0.2712,2.3544,1.366,21N,137W,322.8,206.5,81.2
9443,1910 May 24,1910,05:34:16,11,-1109,129,T,t-,-0.3975,2.1625,1.095,21S,85W,360.3,215.4,49.5
