Catalog_Number,Calendar_Date,Year,Eclipse_Time,Delta_T,Lunation_Number,Saros_Number,Eclipse Type,Gamma,Eclipse_Magnitude,Latitude,Longitude,Sun_Altitude,Sun_Azimuth,Path_Width,Central_Duration
9281,1900 May 28,1900,14:53:56,-2,-1232,126,T,0.3943,1.0249,44.8N,46.5W,67,175,92,2.1
9282,1900 November 22,1900,07:19:43,-2,-1226,131,A,-0.2245,0.9421,33.1S,64.8E,77,7,220,6.42
9283,1901 May 18,1901,05:33:48,-1,-1220,136,T,-0.3626,1.068,1.7S,98.4E,69,353,238,6.29
9284,1901 November 11,1901,07:28:21,0,-1214,141,A,0.4758,0.9216,10.8N,68.9E,62,190,336,11.01
9285,1902 April 8,1902,14:05:06,0,-1209,108,Pe,1.5024,0.0643,71.7N,142.4W,0,67,,
9286,1902 May 7,1902,22:34:16,0,-1208,146,P,-1.0831,0.8593,70.0S,125.1W,0,327,,
9287,1902 October 31,1902,08:00:18,1,-1202,151,P,1.1556,0.696,70.8N,100.8E,0,223,,
9288,1903 March 29,1903,01:35:23,2,-1197,118,A,0.8413,0.9767,56.2N,130.3E,32,147,153,1.53
9289,1903 September 21,1903,04:39:52,2,-1191,123,T,-0.8967,1.0316,58.0S,77.2E,26,35,241,2.12
9290,1904 March 17,1904,05:40:44,3,-1185,128,A,0.1299,0.9367,5.6N,94.7E,82,162,237,8.07
9291,1904 September 9,1904,20:44:21,3,-1179,133,T,-0.1625,1.0709,3.7S,134.5W,81,17,234,6.2
9292,1905 March 6,1905,05:12:26,4,-1173,138,A,-0.5768,0.9269,39.5S,117.4E,55,338,334,7.58
9293,1905 August 30,1905,13:07:26,5,-1167,143,T,0.5708,1.0477,42.5N,4.3W,55,202,192,3.46
9294,1906 February 23,1906,07:43:20,5,-1161,148,P,-1.2479,0.5386,71.4S,170.3W,0,237,,
9295,1906 July 21,1906,13:14:19,6,-1156,115,P,-1.3637,0.3355,68.6S,33.3W,0,15,,
9296,1906 August 20,1906,01:12:50,6,-1155,153,P,1.3731,0.3147,70.8N,66.4W,0,313,,
9297,1907 January 14,1907,06:05:43,6,-1150,120,T,0.8628,1.0281,38.3N,86.4E,30,175,189,2.25
9298,1907 July 10,1907,15:24:32,7,-1144,125,A,-0.6313,0.9456,16.9S,50.9W,51,2,258,7.23
9299,1908 January 3,1908,21:45:22,8,-1138,130,T,0.1934,1.0437,11.8S,145.1W,79,180,149,4.14
9300,1908 June 28,1908,16:29:51,8,-1132,135,A,0.1389,0.9655,31.4N,67.2W,82,177,126,4
9301,1908 December 23,1908,11:44:28,9,-1126,140,H,-0.4985,1.0024,53.4S,0.5W,60,8,10,0.12
9302,1909 June 17,1909,23:18:38,10,-1120,145,H,0.8957,1.0065,82.9N,123.6E,26,110,51,0.24
9303,1909 December 12,1909,19:44:48,10,-1114,150,P,-1.2456,0.5424,65.0S,86.0E,0,158,,
9304,1910 May 9,1910,05:42:13,11,-1109,117,T,-0.9437,1.06,48.2S,125.2E,19,328,594,4.15
9305,1910 November 2,1910,02:08:32,12,-1103,122,P,1.0603,0.8515,61.9N,155.1W,0,238,,
9306,1911 April 28,1911,22:27:22,12,-1097,127,T,-0.2294,1.0562,1.9N,151.9W,77,336,190,4.57
9307,1911 October 22,1911,04:13:02,13,-1091,132,A,0.3224,0.965,6.3N,121.4E,71,206,133,3.47
9308,1912 April 17,1912,11:34:22,14,-1085,137,H,0.528,1.0003,38.4N,11.3W,58,146,1,0.02
9309,1912 October 10,1912,13:36:14,14,-1079,142,T,-0.4149,1.0229,28.1S,40.1W,65,32,85,1.55
9310,1913 April 6,1913,17:33:07,15,-1073,147,P,1.3147,0.4244,61.2N,175.7E,0,77,,
9311,1913 August 31,1913,20:52:12,15,-1068,114,P,1.4512,0.1513,61.5N,26.8W,0,288,,
9312,1913 September 30,1913,04:45:49,15,-1067,152,P,-1.1005,0.8252,61.0S,11.6E,0,95,,
9313,1914 February 25,1914,00:13:01,16,-1062,119,A,-0.9416,0.9248,62.1S,113.3W,19,287,839,5.35
9314,1914 August 21,1914,12:34:27,17,-1056,124,T,0.7655,1.0328,54.5N,27.1E,40,227,170,2.14
9315,1915 February 14,1915,04:33:20,17,-1050,129,A,-0.2024,0.9789,24.0S,120.7E,78,333,77,2.04
9316,1915 August 10,1915,22:52:25,18,-1044,134,A,0.0124,0.9853,16.4N,161.4W,89,200,52,1.33
9317,1916 February 3,1916,16:00:21,18,-1038,139,T,0.4987,1.028,11.1N,67.7W,60,158,108,2.36
9318,1916 July 30,1916,02:06:10,19,-1032,144,A,-0.7709,0.9447,29.0S,132.4E,39,22,313,6.24
9319,1916 December 24,1916,20:46:22,19,-1027,111,P,-1.5321,0.0114,65.7S,32.1E,0,195,,
9320,1917 January 23,1917,07:28:31,19,-1026,149,P,1.1508,0.7254,63.2N,25.6E,0,138,,
9321,1917 June 19,1917,13:16:21,20,-1021,116,P,1.2857,0.4729,66.2N,150.1E,0,350,,
9322,1917 July 19,1917,02:42:42,20,-1020,154,Pb,-1.5101,0.0863,63.7S,101.8E,0,36,,
9323,1917 December 14,1917,09:27:20,20,-1015,121,A,-0.9157,0.9791,88.0S,124.8E,23,271,189,1.17
9324,1918 June 8,1918,22:07:43,20,-1009,126,T,0.4658,1.0292,50.9N,152.0W,62,180,112,2.23
9325,1918 December 3,1918,15:22:02,21,-1003,131,A,-0.2387,0.9383,36.1S,53.7W,76,3,236,7.06
9326,1919 May 29,1919,13:08:55,21,-997,136,T,-0.2955,1.0719,4.4N,16.7W,73,356,244,6.51
9327,1919 November 22,1919,15:14:12,21,-991,141,A,0.4549,0.9198,6.9N,48.9W,63,186,341,11.37
9328,1920 May 18,1920,06:14:55,21,-985,146,P,-1.0239,0.9734,69.1S,107.7E,0,339,,
9329,1920 November 10,1920,15:52:15,22,-979,151,P,1.1287,0.742,69.9N,29.8W,0,211,,
9330,1921 April 8,1921,09:15:01,22,-974,118,A,0.8869,0.9753,64.5N,5.6E,27,139,192,1.5
9331,1921 October 1,1921,12:35:58,22,-968,123,T,-0.9383,1.0293,66.1S,56.1W,20,48,291,1.52
9332,1922 March 28,1922,13:05:26,23,-962,128,A,0.1711,0.9381,12.3N,18.0W,80,162,233,7.5
9333,1922 September 21,1922,04:40:31,23,-956,133,T,-0.213,1.0678,10.7S,104.5E,78,18,226,5.59
9334,1923 March 17,1923,12:44:58,23,-950,138,A,-0.5438,0.931,33.0S,2.4E,57,339,305,7.51
9335,1923 September 10,1923,20:47:29,23,-944,143,T,0.5149,1.043,34.7N,121.8W,59,201,167,3.37
9336,1924 March 5,1924,15:44:20,24,-938,148,P,-1.2232,0.5819,71.9S,55.6E,0,250,,
9337,1924 July 31,1924,19:58:20,24,-933,115,P,-1.4459,0.192,69.6S,146.0W,0,27,,
9338,1924 August 30,1924,08:23:00,24,-932,153,P,1.3123,0.4245,71.5N,172.9E,0,300,,
9339,1925 January 24,1925,14:54:03,24,-927,120,T,0.8661,1.0304,40.5N,49.6W,30,170,206,2.32
9340,1925 July 20,1925,21:48:42,24,-921,125,A,-0.7193,0.9436,25.3S,150.0W,44,6,300,7.15
9341,1926 January 14,1926,06:36:58,24,-915,130,T,0.1973,1.043,10.1S,82.3E,79,176,147,4.11
9342,1926 July 9,1926,23:06:02,24,-909,135,A,0.0538,0.968,25.6N,165.1W,87,181,115,3.51
9343,1927 January 3,1927,20:22:53,24,-903,140,A,-0.4956,0.9995,52.8S,124.8W,60,0,2,0.03
9344,1927 June 29,1927,06:23:27,24,-897,145,T,0.8163,1.0128,78.1N,73.8E,35,167,77,0.5
9345,1927 December 24,1927,03:59:41,24,-891,150,P,-1.2416,0.549,66.1S,47.7W,0,169,,
9346,1928 May 19,1928,13:24:20,24,-886,117,T-,-1.0048,1.014,63.3S,22.5E,0,319,-,-
9347,1928 June 17,1928,20:27:28,24,-885,155,Pb,1.5107,0.0375,65.6N,70.6E,0,16,,
9348,1928 November 12,1928,09:48:24,24,-880,122,P,1.0861,0.8078,62.6N,81.1E,0,229,,
9349,1929 May 9,1929,06:10:34,24,-874,127,T,-0.2887,1.0562,1.6N,92.7E,73,339,193,5.07
9350,1929 November 1,1929,12:05:10,24,-868,132,A,0.3514,0.9649,4.5N,3.1E,69,204,134,3.54
9351,1930 April 28,1930,19:03:34,24,-862,137,H,0.473,1.0003,39.4N,121.2W,62,149,1,0.01
9352,1930 October 21,1930,21:43:53,24,-856,142,T,-0.3804,1.023,30.5S,161.1W,67,31,84,1.55
9353,1931 April 18,1931,00:45:35,24,-850,147,P,1.2643,0.5107,61.5N,58.9E,0,68,,
9354,1931 September 12,1931,04:41:25,24,-845,114,Pe,1.506,0.0471,61.2N,152.8W,0,280,,
9355,1931 October 11,1931,12:55:40,24,-844,152,P,-1.0607,0.9005,61.2S,119.5W,0,104,,
9356,1932 March 7,1932,07:55:50,24,-839,119,A,-0.9673,0.9277,60.7S,134.4E,14,285,1083,5.19
9357,1932 August 31,1932,20:03:41,24,-833,124,T,0.8307,1.0257,54.5N,79.5W,34,232,155,1.45
9358,1933 February 24,1933,12:46:39,24,-827,129,A,-0.2191,0.9841,20.8S,2.1W,77,331,58,1.32
9359,1933 August 21,1933,05:49:11,24,-821,134,A,0.0869,0.9801,16.9N,95.9E,85,206,71,2.04
9360,1934 February 14,1934,00:38:41,24,-815,139,T,0.4868,1.0321,13.2N,161.7E,61,155,123,2.53
9361,1934 August 10,1934,08:37:48,24,-809,144,A,-0.689,0.9436,24.5S,34.6E,46,25,280,6.33
9362,1935 January 5,1935,05:35:46,24,-804,111,Pe,-1.5381,0.0013,64.7S,110.2W,0,205,,
9363,1935 February 3,1935,16:16:20,24,-803,149,P,1.1438,0.739,62.5N,115.4W,0,128,,
9364,1935 June 30,1935,19:59:46,24,-798,116,P,1.3623,0.3375,65.2N,39.1E,0,340,,
9365,1935 July 30,1935,09:16:28,24,-797,154,P,-1.4259,0.2315,62.9S,5.9W,0,45,,
9366,1935 December 25,1935,17:59:52,24,-792,121,A,-0.9228,0.9752,83.5S,9.4E,22,258,234,1.3
9367,1936 June 19,1936,05:20:31,24,-786,126,T,0.5389,1.0329,56.1N,104.7E,57,188,132,2.31
9368,1936 December 13,1936,23:28:12,24,-780,131,A,-0.2493,0.9349,37.8S,172.6W,75,357,251,7.25
9369,1937 June 8,1937,20:41:02,24,-774,136,T,-0.2253,1.0751,9.9N,130.5W,77,0,250,7.04
9370,1937 December 2,1937,23:05:45,24,-768,141,A,0.4389,0.9184,4.0N,167.8W,64,182,344,12
9371,1938 May 29,1938,13:50:19,24,-762,146,T,-0.9607,1.0552,52.7S,22.0W,16,354,675,4.05
9372,1938 November 21,1938,23:52:25,24,-756,151,P,1.1077,0.7781,68.9N,162.0W,0,198,,
9373,1939 April 19,1939,16:45:53,24,-751,118,A,0.9388,0.9731,73.1N,129.1W,20,118,285,1.49
9374,1939 October 12,1939,20:40:23,24,-745,123,T,-0.9737,1.0266,72.8S,155.1E,12,74,418,1.32
9375,1940 April 7,1940,20:21:21,24,-739,128,A,0.219,0.9394,19.2N,128.5W,77,163,230,7.3
9376,1940 October 1,1940,12:44:06,25,-733,133,T,-0.2573,1.0645,17.5S,18.2W,75,18,218,5.35
9377,1941 March 27,1941,20:08:08,25,-727,138,A,-0.5025,0.9355,26.2S,110.9W,60,341,276,7.41
9378,1941 September 21,1941,04:34:03,25,-721,143,T,0.4649,1.0379,27.3N,119.1E,62,200,143,3.22
9379,1942 March 16,1942,23:37:07,25,-715,148,P,-1.1908,0.6393,72.2S,76.8W,0,264,,
9380,1942 August 12,1942,02:45:12,26,-710,115,Pe,-1.5244,0.0561,70.4S,99.9E,0,39,,
9381,1942 September 10,1942,15:39:32,26,-709,153,P,1.2571,0.523,71.9N,50.0E,0,286,,
9382,1943 February 4,1943,23:38:10,26,-704,120,T,0.8734,1.0331,43.6N,175.1E,29,165,229,2.39
9383,1943 August 1,1943,04:16:13,26,-698,125,A,-0.8041,0.9409,34.8S,108.6E,36,11,367,6.59
